group,batch_num,block,signal_num,filename
group1,0,3,0,sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled0.5.wav
group1,0,3,1,sid1816-anchor-COSINE-2734-M_close_91.wav
group1,0,0,2,sid2579-noisy-COSINE-3231-F_array1_81.wav
group1,0,0,3,sid2579-noisy-COSINE-3231-F_array1_81_freqbin3_scaled1000.0.wav
group1,0,3,4,sid1816-anchor-COSINE-2734-M_close_91.wav
group1,0,3,5,sid1816-anchor-COSINE-2734-M_close_91.wav
group1,0,0,6,sid2579-noisy-COSINE-3231-F_array1_81.wav
group1,0,0,7,sid2579-noisy-COSINE-3231-F_array1_81_freqbin3_scaled0.5.wav
group1,0,1,8,sid3114-clean-COSINE-3826-M_close_132.wav
group1,0,1,9,sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled0.5.wav
group1,0,2,10,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin31_scaled0.5.wav
group1,0,2,11,sid0101-clean-COSINE-0100-M_close_202-truncated.wav
group1,0,3,12,sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled10.0.wav
group1,0,3,13,sid1816-anchor-COSINE-2734-M_close_91.wav
group1,0,1,14,sid3114-clean-COSINE-3826-M_close_132.wav
group1,0,1,15,sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled10.0.wav
group1,0,3,16,sid1816-anchor-COSINE-2734-M_close_91.wav
group1,0,3,17,sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled1000.0.wav
group1,0,1,18,sid3114-clean-COSINE-3826-M_close_132.wav
group1,0,1,19,sid3114-clean-COSINE-3826-M_close_132.wav
group1,0,2,20,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin31_scaled10.0.wav
group1,0,2,21,sid0101-clean-COSINE-0100-M_close_202-truncated.wav
group1,0,1,22,sid3114-clean-COSINE-3826-M_close_132.wav
group1,0,1,23,sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled1000.0.wav
group1,0,2,24,sid0101-clean-COSINE-0100-M_close_202-truncated.wav
group1,0,2,25,sid0101-clean-COSINE-0100-M_close_202-truncated.wav
