model,freqbin,pcc,p-value
mosnet,0,-0.4661243277032195,0.5338756722967806
dnsmos,0,0.936257315850075,0.06374268414992512
scoreq,0,0.9635728585496102,0.03642714145038983
mosnet,1,0.6405739133299977,0.3594260866700023
dnsmos,1,0.8037721930855908,0.19622780691440922
scoreq,1,0.9646776179398809,0.03532238206011895
mosnet,2,0.6032872430883496,0.3967127569116504
dnsmos,2,0.8465955647275748,0.1534044352724253
scoreq,2,0.9979006362237967,0.0020993637762032336
mosnet,3,0.9267460553892134,0.07325394461078671
dnsmos,3,0.9509727074529943,0.04902729254700566
scoreq,3,0.9743897701075411,0.025610229892458758
mosnet,4,-0.7443447781889241,0.2556552218110759
dnsmos,4,0.9774790329059516,0.022520967094048494
scoreq,4,0.9984084547588588,0.0015915452411412456
mosnet,5,-0.8122021550990818,0.18779784490091833
dnsmos,5,0.9643821025338566,0.03561789746614341
scoreq,5,0.9997142067905498,0.0002857932094502136
mosnet,6,-0.8447644218041588,0.15523557819584122
dnsmos,6,0.945531498650339,0.05446850134966086
scoreq,6,0.9962493876012051,0.003750612398794928
mosnet,12,-0.9033802280218335,0.09661977197816651
dnsmos,12,0.9544378236080031,0.04556217639199689
scoreq,12,0.9995604533039694,0.0004395466960307459
mosnet,14,-0.8974441166871029,0.10255588331289722
dnsmos,14,0.9648280361726694,0.035171963827330455
scoreq,14,0.9913782933403308,0.008621706659669215
mosnet,15,-0.8635315370774671,0.136468462922533
dnsmos,15,0.9489249436266995,0.051075056373300454
scoreq,15,0.964054776674114,0.03594522332588612
mosnet,17,-0.8349897203764659,0.1650102796235342
dnsmos,17,0.8472864216520422,0.15271357834795785
scoreq,17,0.9442671874662137,0.05573281253378637
mosnet,20,-0.9571455302389331,0.04285446976106688
dnsmos,20,0.937369735148072,0.06263026485192791
scoreq,20,0.9956935999795979,0.004306400020402057
mosnet,21,-0.9721318708704937,0.027868129129506425
dnsmos,21,0.9663786778455756,0.03362132215442437
scoreq,21,0.9971474283770669,0.0028525716229330644
mosnet,26,-0.9433651545541378,0.05663484544586206
dnsmos,26,0.9454805963921632,0.054519403607836914
scoreq,26,0.9868250318298026,0.013174968170197365
mosnet,31,-0.9799403773928377,0.02005962260716232
dnsmos,31,0.9610450203461395,0.03895497965386063
scoreq,31,0.9835976611557935,0.0164023388442065
mosnet,40,-0.9325630000333782,0.06743699996662178
dnsmos,40,0.8762507536940478,0.12374924630595219
scoreq,40,0.9422688546634166,0.05773114533658341
mosnet,41,-0.9796314373628634,0.0203685626371366
dnsmos,41,0.9176383655995395,0.08236163440046051
scoreq,41,0.9739539879404433,0.0260460120595567
