group,batch,filename,average_mos,true_mos,num_ratings,ratings
"['group1', 'group2']",['practice'],sid1768-clean-COSINE-2734-M_close_35_freqbin4_scaled10.wav,1.295,,200,"[1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 3, 3, 4, 3, 3, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
"['group1', 'group2']",['practice'],sid1768-clean-COSINE-2734-M_close_35.wav,2.305,4.151515151515151,400,"[5, 1, 2, 1, 3, 1, 5, 1, 4, 1, 4, 1, 5, 1, 3, 1, 4, 1, 4, 1, 5, 1, 5, 1, 3, 1, 3, 1, 4, 1, 3, 1, 5, 2, 3, 1, 2, 1, 4, 1, 4, 1, 3, 1, 4, 1, 3, 1, 4, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 4, 1, 3, 1, 5, 1, 4, 1, 4, 1, 4, 1, 2, 1, 3, 1, 5, 1, 5, 1, 3, 1, 3, 1, 3, 2, 5, 1, 3, 1, 3, 1, 5, 1, 3, 1, 4, 1, 3, 1, 4, 1, 3, 1, 4, 1, 3, 1, 3, 1, 4, 1, 4, 1, 5, 1, 4, 1, 4, 1, 3, 1, 4, 1, 3, 1, 3, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 5, 1, 3, 1, 3, 1, 5, 1, 3, 1, 4, 1, 5, 1, 4, 1, 3, 1, 4, 1, 3, 1, 2, 1, 4, 1, 5, 1, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 5, 1, 5, 1, 4, 1, 3, 1, 2, 1, 4, 1, 3, 1, 4, 1, 5, 1, 3, 1, 3, 1, 2, 1, 4, 1, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 2, 1, 3, 1, 4, 1, 2, 1, 3, 1, 4, 2, 4, 3, 3, 1, 4, 1, 3, 1, 4, 1, 5, 1, 4, 1, 4, 1, 4, 1, 3, 1, 4, 1, 2, 1, 3, 1, 2, 1, 5, 1, 4, 1, 4, 2, 3, 1, 4, 1, 3, 1, 3, 1, 3, 1, 4, 1, 3, 1, 5, 1, 4, 1, 4, 1, 4, 1, 3, 1, 4, 1, 3, 1, 5, 1, 4, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 2, 1, 3, 1, 3, 1, 2, 1, 3, 1, 3, 1, 4, 1, 3, 1, 3, 1, 3, 1, 5, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 5, 1, 5, 1, 3, 1, 3, 1, 4, 1, 3, 1, 3, 1, 3, 1, 5, 1, 3, 1, 4, 1, 3, 1, 2, 1, 3, 1, 4, 1, 3, 1, 3, 1, 4, 1, 3, 1, 5, 1, 4, 1, 3, 1]"
"['group1', 'group2']",['practice'],sid0795-clean-COSINE-1399-F_close_178-truncated.wav,3.7,4.103030303030304,200,"[5, 4, 4, 5, 3, 3, 5, 3, 4, 3, 4, 4, 3, 3, 4, 3, 5, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 5, 2, 2, 3, 3, 3, 4, 5, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 5, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 5, 3, 4, 5, 4, 4, 3, 3, 3, 3, 4, 5, 4, 3, 4, 4, 4, 5, 2, 5, 3, 4, 4, 5, 2, 4, 4, 5, 3, 3, 3, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 2, 3, 3, 4, 5, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 4, 4, 5, 3, 3, 2, 5, 3, 5, 3, 4, 4, 4, 5, 4, 3, 4, 4, 2, 3, 4, 4, 4, 3, 4, 5, 3, 3, 4, 4, 3, 5, 4, 3]"
"['group1', 'group2', 'group3']","[5, 6, 7, 9, 12, 14, 15, 17, 1, 4, 8, 10, 11, 0]",sid5333-noisy-COSINE-7408-M_array1_149.wav,1.8209523809523809,1.5737373737373737,525,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 3, 3, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 4, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 3, 4, 3, 3, 1, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 2, 1, 2, 3, 3, 2, 2, 3, 2, 2, 1, 1, 1, 2, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 4, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled0.5.wav,1.75,,8,"[2, 2, 2, 2, 1, 2, 1, 2]"
"['group1', 'group2', 'group3']","[0, 5, 6, 10, 11, 13, 15, 16, 3, 7, 8, 9, 1]",sid3114-clean-COSINE-3826-M_close_132.wav,3.7463917525773196,3.311111111111112,485,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 5, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 4, 3, 3, 3, 5, 4, 4, 5, 4, 4, 3, 3, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 3, 2, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 2, 3, 3, 2, 2, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 3, 3, 5, 5, 3, 5, 5, 2, 2, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 2, 3, 3, 3, 3, 5, 5, 4, 5, 5, 5, 4, 3, 3, 5, 5, 5, 5, 5, 5, 3, 3, 4, 3, 3, 4, 4, 5, 4, 4, 5, 5, 5, 5, 5, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 2, 3, 3, 3, 3, 5, 5, 5, 3, 3, 4, 4, 4, 4, 4, 3, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3]"
['group1'],[6],sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled0.5.wav,3.25,,8,"[3, 3, 3, 4, 3, 3, 4, 3]"
['group1'],[6],sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled1000.0.wav,1.0,,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled0.5.wav,1.625,,8,"[2, 1, 2, 2, 1, 2, 1, 2]"
['group1'],[6],sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled10.0.wav,2.875,,8,"[3, 1, 4, 4, 4, 2, 2, 3]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled10.0.wav,1.625,,8,"[2, 1, 2, 2, 2, 1, 1, 2]"
"['group1', 'group2', 'group3']","[1, 3, 6, 7, 9, 10, 12, 15, 16, 0, 4, 11, 13]",sid3629-clean-COSINE-4174-F_close_72.wav,4.029090909090909,4.248484848484848,550,"[5, 5, 5, 5, 5, 3, 4, 4, 4, 4, 5, 4, 4, 3, 3, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 5, 5, 5, 3, 3, 3, 2, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 5, 5, 3, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 3, 5, 5, 5, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 2, 2, 4, 4, 4, 5, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 4, 3, 3, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 5, 5, 5, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 5, 5, 3, 5, 5, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5, 5, 3, 4, 4, 5, 5, 3, 4, 4, 4, 4, 3, 5, 5, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 3, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 5, 5, 5, 5, 5, 2, 3, 2, 4, 3, 5, 5, 3, 4, 5, 4, 4, 4, 3, 4, 2, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 3, 4, 4, 4, 4, 4, 3, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4]"
['group1'],[6],sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled10.0.wav,3.5,,8,"[4, 3, 4, 3, 3, 3, 5, 3]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled1000.0.wav,1.0,,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled10.0.wav,1.125,,8,"[1, 1, 1, 1, 1, 1, 1, 2]"
['group1'],[6],sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled1000.0.wav,1.0,,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
['group1'],[6],sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled1000.0.wav,1.125,,8,"[1, 1, 1, 2, 1, 1, 1, 1]"
['group1'],[6],sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled0.5.wav,4.25,,8,"[5, 3, 4, 4, 5, 4, 5, 4]"
['group1'],[9],sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled0.5.wav,4.0,,4,"[3, 5, 4, 4]"
"['group1', 'group2', 'group3']","[1, 3, 7, 8, 9, 13, 16, 4, 5, 10, 11, 12, 0]",sid4715-noisy-COSINE-6463-F_array1_69.wav,2.318,2.107070707070707,500,"[1, 2, 2, 3, 3, 1, 1, 1, 1, 2, 3, 1, 2, 2, 2, 3, 3, 2, 2, 4, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 3, 3, 4, 4, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 1, 2, 1, 1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 2, 2, 2, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 5, 5, 3, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 3, 3, 3, 3, 3, 1, 1, 1, 2, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 4, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 2, 2, 3, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 2, 3, 2, 2, 2, 2, 3, 3, 3, 1, 1, 2, 2, 1, 4, 3, 3, 4, 4, 3, 2, 1, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 4, 3, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 1, 3, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
['group1'],[9],sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled10.0.wav,2.25,,4,"[1, 3, 3, 2]"
['group1'],[9],sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled0.5.wav,1.5,,4,"[1, 2, 2, 1]"
['group1'],[9],sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled0.5.wav,3.25,,4,"[3, 4, 3, 3]"
"['group1', 'group2', 'group3']","[1, 2, 4, 9, 10, 11, 14, 0, 6, 8, 12, 13]",sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,3.3849462365591396,3.206060606060607,465,"[4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 3, 3, 3, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 4, 4, 5, 4, 4, 3, 3, 3, 3, 2, 3, 4, 4, 4, 4, 3, 4, 5, 5, 5, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 2, 2, 2, 2, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 2, 2, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 5, 5, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 5, 4, 3, 3, 4, 4, 4, 4, 5, 4, 5, 4, 4, 5, 5, 3, 5, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 5, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 2, 3, 2, 2, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 2, 3, 3, 4, 3, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 2, 4, 3, 4, 4, 3, 4, 4, 5, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
['group1'],[9],sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled1000.0.wav,1.5,,4,"[1, 3, 1, 1]"
['group1'],[9],sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled10.0.wav,1.5,,4,"[1, 2, 2, 1]"
['group1'],[9],sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled1000.0.wav,1.0,,4,"[1, 1, 1, 1]"
['group1'],[9],sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled1000.0.wav,1.0,,4,"[1, 1, 1, 1]"
['group1'],[9],sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled10.0.wav,3.25,,4,"[3, 3, 3, 4]"
['group1'],[9],sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled10.0.wav,2.5,,4,"[2, 2, 2, 4]"
['group1'],[9],sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled0.5.wav,2.25,,4,"[2, 3, 2, 2]"
['group1'],[9],sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled1000.0.wav,1.0,,4,"[1, 1, 1, 1]"
['group1'],[3],sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled10.0.wav,1.1818181818181819,,11,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
