file_pair,num_pref_A,num_pref_B,num_pref_equal
sid1768-clean-COSINE-2734-M_close_35_freqbin4_scaled10.wav / sid1768-clean-COSINE-2734-M_close_35.wav,2,189,9
sid0795-clean-COSINE-1399-F_close_178-truncated.wav / sid1768-clean-COSINE-2734-M_close_35.wav,194,4,2
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled0.5.wav,0,0,8
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,5,4,96
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled0.5.wav,0,0,8
sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,8,0
sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,1,7
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132.wav,7,2,88
sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,4,3
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled10.0.wav,5,0,3
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled10.0.wav,4,0,4
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled1000.0.wav,8,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72.wav,6,10,94
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled10.0.wav,8,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled1000.0.wav,8,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled1000.0.wav,8,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,8
sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,4
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled10.0.wav,1,1,2
sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,0,4
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,1,3
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled1000.0.wav,3,0,1
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled10.0.wav,3,0,1
sid5333-noisy-COSINE-7408-M_array1_149_freqbin3_scaled1000.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,4,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,4,12,77
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled1000.0.wav,4,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin41_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,4,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin40_scaled10.0.wav,3,0,1
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled0.5.wav,0,0,4
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin1_scaled1000.0.wav,4,0,0
