WorkerId,AssignmentStatus,ratings,files
A1XAFKGJBBH6S5,Submitted,"[42, 13, 73, 51, 27, 64, 52, 65, 50, 60, 42, 44, 26, 74, 37, 54, 29, 21, 75, 46, 76, 45, 86, 48, 63, 39, 45, 34, 88, 40, 74, 43, 40, 46, 83, 63, 17, 18, 49, 63, 81, 30]","['sid5900-anchor-COSINE-9987-F_close_20.wav', 'sid5900-noisy-COSINE-9987-F_shoulder_20.wav', 'sid5900-clean-COSINE-9987-F_close_20.wav', 'sid1825-clean-COSINE-2794-M_close_1-truncated.wav', 'sid1825-anchor-COSINE-2794-M_close_1-truncated.wav', 'sid1825-noisy-COSINE-2794-M_array1_1-truncated.wav', 'sid3717-anchor-COSINE-5068-F_close_69.wav', 'sid3717-clean-COSINE-5068-F_close_69.wav', 'sid3717-noisy-COSINE-5068-F_array1_69.wav', 'sid0704-clean-COSINE-1278-F_close_83.wav', 'sid0704-anchor-COSINE-1278-F_close_83.wav', 'sid0704-noisy-COSINE-1278-F_array1_83.wav', 'sid4798-anchor-COSINE-7000-F_close_155.wav', 'sid4798-clean-COSINE-7000-F_close_155.wav', 'sid4798-noisy-COSINE-7000-F_array1_155.wav', 'sid3113-clean-COSINE-3826-M_close_130.wav', 'sid3113-noisy-COSINE-3826-M_array1_130.wav', 'sid3113-anchor-COSINE-3826-M_close_130.wav', 'sid0595-clean-COSINE-1278-F_close_191.wav', 'sid0595-anchor-COSINE-1278-F_close_191.wav', 'sid0595-noisy-COSINE-1278-F_array1_191.wav', 'sid5995-anchor-COSINE-9987-F_close_93.wav', 'sid5995-clean-COSINE-9987-F_close_93.wav', 'sid5995-noisy-COSINE-9987-F_shoulder_93.wav', 'sid3233-clean-COSINE-3826-M_close_250.wav', 'sid3233-anchor-COSINE-3826-M_close_250.wav', 'sid3233-noisy-COSINE-3826-M_array1_250.wav', 'sid4710-noisy-COSINE-6463-F_array1_64.wav', 'sid4710-clean-COSINE-6463-F_close_64.wav', 'sid4710-anchor-COSINE-6463-F_close_64.wav', 'sid0387-clean-COSINE-0622-F_close_47-truncated.wav', 'sid0387-noisy-COSINE-0622-F_array1_47-truncated.wav', 'sid0387-anchor-COSINE-0622-F_close_47-truncated.wav', 'sid5813-anchor-COSINE-9987-F_close_116.wav', 'sid5813-clean-COSINE-9987-F_close_116.wav', 'sid5813-noisy-COSINE-9987-F_shoulder_116.wav', 'sid1221-anchor-COSINE-1892-M_close_139.wav', 'sid1221-noisy-COSINE-1892-M_array1_139.wav', 'sid1221-clean-COSINE-1892-M_close_139.wav', 'sid0652-noisy-COSINE-1278-F_array1_30.wav', 'sid0652-clean-COSINE-1278-F_close_30.wav', 'sid0652-anchor-COSINE-1278-F_close_30.wav']"
A1N1ULK71RHVMM,Submitted,"[70, 11, 83, 63, 37, 54, 64, 84, 17, 90, 25, 14, 37, 85, 10, 21, 37, 40, 75, 25, 22, 10, 67, 20, 73, 15, 19, 10, 85, 18, 66, 18, 27, 16, 74, 37, 8, 20, 44, 22, 95, 32]","['sid5900-anchor-COSINE-9987-F_close_20.wav', 'sid5900-noisy-COSINE-9987-F_shoulder_20.wav', 'sid5900-clean-COSINE-9987-F_close_20.wav', 'sid1825-clean-COSINE-2794-M_close_1-truncated.wav', 'sid1825-anchor-COSINE-2794-M_close_1-truncated.wav', 'sid1825-noisy-COSINE-2794-M_array1_1-truncated.wav', 'sid3717-anchor-COSINE-5068-F_close_69.wav', 'sid3717-clean-COSINE-5068-F_close_69.wav', 'sid3717-noisy-COSINE-5068-F_array1_69.wav', 'sid0704-clean-COSINE-1278-F_close_83.wav', 'sid0704-anchor-COSINE-1278-F_close_83.wav', 'sid0704-noisy-COSINE-1278-F_array1_83.wav', 'sid4798-anchor-COSINE-7000-F_close_155.wav', 'sid4798-clean-COSINE-7000-F_close_155.wav', 'sid4798-noisy-COSINE-7000-F_array1_155.wav', 'sid3113-clean-COSINE-3826-M_close_130.wav', 'sid3113-noisy-COSINE-3826-M_array1_130.wav', 'sid3113-anchor-COSINE-3826-M_close_130.wav', 'sid0595-clean-COSINE-1278-F_close_191.wav', 'sid0595-anchor-COSINE-1278-F_close_191.wav', 'sid0595-noisy-COSINE-1278-F_array1_191.wav', 'sid5995-anchor-COSINE-9987-F_close_93.wav', 'sid5995-clean-COSINE-9987-F_close_93.wav', 'sid5995-noisy-COSINE-9987-F_shoulder_93.wav', 'sid3233-clean-COSINE-3826-M_close_250.wav', 'sid3233-anchor-COSINE-3826-M_close_250.wav', 'sid3233-noisy-COSINE-3826-M_array1_250.wav', 'sid4710-noisy-COSINE-6463-F_array1_64.wav', 'sid4710-clean-COSINE-6463-F_close_64.wav', 'sid4710-anchor-COSINE-6463-F_close_64.wav', 'sid0387-clean-COSINE-0622-F_close_47-truncated.wav', 'sid0387-noisy-COSINE-0622-F_array1_47-truncated.wav', 'sid0387-anchor-COSINE-0622-F_close_47-truncated.wav', 'sid5813-anchor-COSINE-9987-F_close_116.wav', 'sid5813-clean-COSINE-9987-F_close_116.wav', 'sid5813-noisy-COSINE-9987-F_shoulder_116.wav', 'sid1221-anchor-COSINE-1892-M_close_139.wav', 'sid1221-noisy-COSINE-1892-M_array1_139.wav', 'sid1221-clean-COSINE-1892-M_close_139.wav', 'sid0652-noisy-COSINE-1278-F_array1_30.wav', 'sid0652-clean-COSINE-1278-F_close_30.wav', 'sid0652-anchor-COSINE-1278-F_close_30.wav']"
A27CQVTYWINTSH,Submitted,"[35, 15, 85, 77, 68, 22, 78, 78, 37, 89, 80, 32, 24, 88, 11, 72, 75, 74, 100, 85, 77, 66, 97, 20, 78, 71, 10, 8, 14, 6, 83, 47, 74, 85, 97, 18, 48, 38, 76, 8, 71, 32]","['sid5900-anchor-COSINE-9987-F_close_20.wav', 'sid5900-noisy-COSINE-9987-F_shoulder_20.wav', 'sid5900-clean-COSINE-9987-F_close_20.wav', 'sid1825-clean-COSINE-2794-M_close_1-truncated.wav', 'sid1825-anchor-COSINE-2794-M_close_1-truncated.wav', 'sid1825-noisy-COSINE-2794-M_array1_1-truncated.wav', 'sid3717-anchor-COSINE-5068-F_close_69.wav', 'sid3717-clean-COSINE-5068-F_close_69.wav', 'sid3717-noisy-COSINE-5068-F_array1_69.wav', 'sid0704-clean-COSINE-1278-F_close_83.wav', 'sid0704-anchor-COSINE-1278-F_close_83.wav', 'sid0704-noisy-COSINE-1278-F_array1_83.wav', 'sid4798-anchor-COSINE-7000-F_close_155.wav', 'sid4798-clean-COSINE-7000-F_close_155.wav', 'sid4798-noisy-COSINE-7000-F_array1_155.wav', 'sid3113-clean-COSINE-3826-M_close_130.wav', 'sid3113-noisy-COSINE-3826-M_array1_130.wav', 'sid3113-anchor-COSINE-3826-M_close_130.wav', 'sid0595-clean-COSINE-1278-F_close_191.wav', 'sid0595-anchor-COSINE-1278-F_close_191.wav', 'sid0595-noisy-COSINE-1278-F_array1_191.wav', 'sid5995-anchor-COSINE-9987-F_close_93.wav', 'sid5995-clean-COSINE-9987-F_close_93.wav', 'sid5995-noisy-COSINE-9987-F_shoulder_93.wav', 'sid3233-clean-COSINE-3826-M_close_250.wav', 'sid3233-anchor-COSINE-3826-M_close_250.wav', 'sid3233-noisy-COSINE-3826-M_array1_250.wav', 'sid4710-noisy-COSINE-6463-F_array1_64.wav', 'sid4710-clean-COSINE-6463-F_close_64.wav', 'sid4710-anchor-COSINE-6463-F_close_64.wav', 'sid0387-clean-COSINE-0622-F_close_47-truncated.wav', 'sid0387-noisy-COSINE-0622-F_array1_47-truncated.wav', 'sid0387-anchor-COSINE-0622-F_close_47-truncated.wav', 'sid5813-anchor-COSINE-9987-F_close_116.wav', 'sid5813-clean-COSINE-9987-F_close_116.wav', 'sid5813-noisy-COSINE-9987-F_shoulder_116.wav', 'sid1221-anchor-COSINE-1892-M_close_139.wav', 'sid1221-noisy-COSINE-1892-M_array1_139.wav', 'sid1221-clean-COSINE-1892-M_close_139.wav', 'sid0652-noisy-COSINE-1278-F_array1_30.wav', 'sid0652-clean-COSINE-1278-F_close_30.wav', 'sid0652-anchor-COSINE-1278-F_close_30.wav']"
A1VE6VNQJO0U88,Submitted,"[21, 12, 80, 21, 43, 6, 11, 11, 6, 41, 44, 6, 4, 5, 4, 8, 21, 21, 3, 3, 3, 80, 81, 11, 6, 8, 6, 2, 7, 7, 6, 4, 8, 10, 10, 2, 1, 4, 3, 9, 7, 9]","['sid5900-anchor-COSINE-9987-F_close_20.wav', 'sid5900-noisy-COSINE-9987-F_shoulder_20.wav', 'sid5900-clean-COSINE-9987-F_close_20.wav', 'sid1825-clean-COSINE-2794-M_close_1-truncated.wav', 'sid1825-anchor-COSINE-2794-M_close_1-truncated.wav', 'sid1825-noisy-COSINE-2794-M_array1_1-truncated.wav', 'sid3717-anchor-COSINE-5068-F_close_69.wav', 'sid3717-clean-COSINE-5068-F_close_69.wav', 'sid3717-noisy-COSINE-5068-F_array1_69.wav', 'sid0704-clean-COSINE-1278-F_close_83.wav', 'sid0704-anchor-COSINE-1278-F_close_83.wav', 'sid0704-noisy-COSINE-1278-F_array1_83.wav', 'sid4798-anchor-COSINE-7000-F_close_155.wav', 'sid4798-clean-COSINE-7000-F_close_155.wav', 'sid4798-noisy-COSINE-7000-F_array1_155.wav', 'sid3113-clean-COSINE-3826-M_close_130.wav', 'sid3113-noisy-COSINE-3826-M_array1_130.wav', 'sid3113-anchor-COSINE-3826-M_close_130.wav', 'sid0595-clean-COSINE-1278-F_close_191.wav', 'sid0595-anchor-COSINE-1278-F_close_191.wav', 'sid0595-noisy-COSINE-1278-F_array1_191.wav', 'sid5995-anchor-COSINE-9987-F_close_93.wav', 'sid5995-clean-COSINE-9987-F_close_93.wav', 'sid5995-noisy-COSINE-9987-F_shoulder_93.wav', 'sid3233-clean-COSINE-3826-M_close_250.wav', 'sid3233-anchor-COSINE-3826-M_close_250.wav', 'sid3233-noisy-COSINE-3826-M_array1_250.wav', 'sid4710-noisy-COSINE-6463-F_array1_64.wav', 'sid4710-clean-COSINE-6463-F_close_64.wav', 'sid4710-anchor-COSINE-6463-F_close_64.wav', 'sid0387-clean-COSINE-0622-F_close_47-truncated.wav', 'sid0387-noisy-COSINE-0622-F_array1_47-truncated.wav', 'sid0387-anchor-COSINE-0622-F_close_47-truncated.wav', 'sid5813-anchor-COSINE-9987-F_close_116.wav', 'sid5813-clean-COSINE-9987-F_close_116.wav', 'sid5813-noisy-COSINE-9987-F_shoulder_116.wav', 'sid1221-anchor-COSINE-1892-M_close_139.wav', 'sid1221-noisy-COSINE-1892-M_array1_139.wav', 'sid1221-clean-COSINE-1892-M_close_139.wav', 'sid0652-noisy-COSINE-1278-F_array1_30.wav', 'sid0652-clean-COSINE-1278-F_close_30.wav', 'sid0652-anchor-COSINE-1278-F_close_30.wav']"
A2MEZ3IXRFNT0E,Submitted,"[62, 37, 82, 85, 57, 36, 92, 81, 64, 82, 64, 68, 51, 83, 27, 64, 84, 72, 75, 48, 59, 68, 92, 34, 61, 64, 94, 71, 79, 38, 83, 38, 70, 76, 95, 57, 58, 23, 93, 92, 71, 44]","['sid5900-anchor-COSINE-9987-F_close_20.wav', 'sid5900-noisy-COSINE-9987-F_shoulder_20.wav', 'sid5900-clean-COSINE-9987-F_close_20.wav', 'sid1825-clean-COSINE-2794-M_close_1-truncated.wav', 'sid1825-anchor-COSINE-2794-M_close_1-truncated.wav', 'sid1825-noisy-COSINE-2794-M_array1_1-truncated.wav', 'sid3717-anchor-COSINE-5068-F_close_69.wav', 'sid3717-clean-COSINE-5068-F_close_69.wav', 'sid3717-noisy-COSINE-5068-F_array1_69.wav', 'sid0704-clean-COSINE-1278-F_close_83.wav', 'sid0704-anchor-COSINE-1278-F_close_83.wav', 'sid0704-noisy-COSINE-1278-F_array1_83.wav', 'sid4798-anchor-COSINE-7000-F_close_155.wav', 'sid4798-clean-COSINE-7000-F_close_155.wav', 'sid4798-noisy-COSINE-7000-F_array1_155.wav', 'sid3113-clean-COSINE-3826-M_close_130.wav', 'sid3113-noisy-COSINE-3826-M_array1_130.wav', 'sid3113-anchor-COSINE-3826-M_close_130.wav', 'sid0595-clean-COSINE-1278-F_close_191.wav', 'sid0595-anchor-COSINE-1278-F_close_191.wav', 'sid0595-noisy-COSINE-1278-F_array1_191.wav', 'sid5995-anchor-COSINE-9987-F_close_93.wav', 'sid5995-clean-COSINE-9987-F_close_93.wav', 'sid5995-noisy-COSINE-9987-F_shoulder_93.wav', 'sid3233-clean-COSINE-3826-M_close_250.wav', 'sid3233-anchor-COSINE-3826-M_close_250.wav', 'sid3233-noisy-COSINE-3826-M_array1_250.wav', 'sid4710-noisy-COSINE-6463-F_array1_64.wav', 'sid4710-clean-COSINE-6463-F_close_64.wav', 'sid4710-anchor-COSINE-6463-F_close_64.wav', 'sid0387-clean-COSINE-0622-F_close_47-truncated.wav', 'sid0387-noisy-COSINE-0622-F_array1_47-truncated.wav', 'sid0387-anchor-COSINE-0622-F_close_47-truncated.wav', 'sid5813-anchor-COSINE-9987-F_close_116.wav', 'sid5813-clean-COSINE-9987-F_close_116.wav', 'sid5813-noisy-COSINE-9987-F_shoulder_116.wav', 'sid1221-anchor-COSINE-1892-M_close_139.wav', 'sid1221-noisy-COSINE-1892-M_array1_139.wav', 'sid1221-clean-COSINE-1892-M_close_139.wav', 'sid0652-noisy-COSINE-1278-F_array1_30.wav', 'sid0652-clean-COSINE-1278-F_close_30.wav', 'sid0652-anchor-COSINE-1278-F_close_30.wav']"
A23G1L7KYHK9F2,Submitted,"[23, 19, 13, 56, 47, 23, 24, 19, 50, 56, 46, 19, 47, 65, 71, 57, 12, 31, 33, 16, 18, 18, 45, 55, 12, 50, 62, 66, 20, 10, 17, 54, 37, 49, 39, 22, 16, 41, 63, 22, 16, 52]","['sid3619-clean-COSINE-4174-F_close_62.wav', 'sid3619-noisy-COSINE-4174-F_array1_62.wav', 'sid3619-anchor-COSINE-4174-F_close_62.wav', 'sid0381-noisy-COSINE-0622-F_array1_41.wav', 'sid0381-clean-COSINE-0622-F_close_41.wav', 'sid0381-anchor-COSINE-0622-F_close_41.wav', 'sid3380-clean-COSINE-3904-M_close_176.wav', 'sid3380-anchor-COSINE-3904-M_close_176.wav', 'sid3380-noisy-COSINE-3904-M_array1_176.wav', 'sid4513-clean-COSINE-6463-F_close_161.wav', 'sid4513-noisy-COSINE-6463-F_array1_161.wav', 'sid4513-anchor-COSINE-6463-F_close_161.wav', 'sid0462-anchor-COSINE-1044-M_close_36.wav', 'sid0462-clean-COSINE-1044-M_close_36.wav', 'sid0462-noisy-COSINE-1044-M_array1_36.wav', 'sid4782-noisy-COSINE-7000-F_array1_14-truncated.wav', 'sid4782-anchor-COSINE-7000-F_close_14-truncated.wav', 'sid4782-clean-COSINE-7000-F_close_14-truncated.wav', 'sid2094-noisy-COSINE-2828-M_array1_3.wav', 'sid2094-clean-COSINE-2828-M_close_3.wav', 'sid2094-anchor-COSINE-2828-M_close_3.wav', 'sid3478-anchor-COSINE-3904-M_close_29.wav', 'sid3478-clean-COSINE-3904-M_close_29.wav', 'sid3478-noisy-COSINE-3904-M_array1_29.wav', 'sid5559-anchor-COSINE-8112-F_close_119.wav', 'sid5559-clean-COSINE-8112-F_close_119.wav', 'sid5559-noisy-COSINE-8112-F_array1_119.wav', 'sid3066-clean-COSINE-3792-F_close_86.wav', 'sid3066-noisy-COSINE-3792-F_array1_86.wav', 'sid3066-anchor-COSINE-3792-F_close_86.wav', 'sid1684-anchor-COSINE-2406-F_close_74.wav', 'sid1684-clean-COSINE-2406-F_close_74.wav', 'sid1684-noisy-COSINE-2406-F_array1_74.wav', 'sid1874-noisy-COSINE-2794-M_array1_149.wav', 'sid1874-clean-COSINE-2794-M_close_149.wav', 'sid1874-anchor-COSINE-2794-M_close_149.wav', 'sid3812-anchor-COSINE-5289-F_close_135.wav', 'sid3812-noisy-COSINE-5289-F_array1_135.wav', 'sid3812-clean-COSINE-5289-F_close_135.wav', 'sid5360-noisy-COSINE-7408-M_array1_18.wav', 'sid5360-anchor-COSINE-7408-M_close_18.wav', 'sid5360-clean-COSINE-7408-M_close_18.wav']"
A9ZCY6FLUCIU1,Submitted,"[75, 13, 72, 17, 47, 42, 54, 47, 20, 71, 51, 78, 53, 57, 26, 16, 55, 62, 30, 80, 66, 61, 71, 24, 37, 45, 18, 76, 27, 76, 67, 81, 28, 35, 64, 65, 68, 51, 90, 14, 27, 32]","['sid3619-clean-COSINE-4174-F_close_62.wav', 'sid3619-noisy-COSINE-4174-F_array1_62.wav', 'sid3619-anchor-COSINE-4174-F_close_62.wav', 'sid0381-noisy-COSINE-0622-F_array1_41.wav', 'sid0381-clean-COSINE-0622-F_close_41.wav', 'sid0381-anchor-COSINE-0622-F_close_41.wav', 'sid3380-clean-COSINE-3904-M_close_176.wav', 'sid3380-anchor-COSINE-3904-M_close_176.wav', 'sid3380-noisy-COSINE-3904-M_array1_176.wav', 'sid4513-clean-COSINE-6463-F_close_161.wav', 'sid4513-noisy-COSINE-6463-F_array1_161.wav', 'sid4513-anchor-COSINE-6463-F_close_161.wav', 'sid0462-anchor-COSINE-1044-M_close_36.wav', 'sid0462-clean-COSINE-1044-M_close_36.wav', 'sid0462-noisy-COSINE-1044-M_array1_36.wav', 'sid4782-noisy-COSINE-7000-F_array1_14-truncated.wav', 'sid4782-anchor-COSINE-7000-F_close_14-truncated.wav', 'sid4782-clean-COSINE-7000-F_close_14-truncated.wav', 'sid2094-noisy-COSINE-2828-M_array1_3.wav', 'sid2094-clean-COSINE-2828-M_close_3.wav', 'sid2094-anchor-COSINE-2828-M_close_3.wav', 'sid3478-anchor-COSINE-3904-M_close_29.wav', 'sid3478-clean-COSINE-3904-M_close_29.wav', 'sid3478-noisy-COSINE-3904-M_array1_29.wav', 'sid5559-anchor-COSINE-8112-F_close_119.wav', 'sid5559-clean-COSINE-8112-F_close_119.wav', 'sid5559-noisy-COSINE-8112-F_array1_119.wav', 'sid3066-clean-COSINE-3792-F_close_86.wav', 'sid3066-noisy-COSINE-3792-F_array1_86.wav', 'sid3066-anchor-COSINE-3792-F_close_86.wav', 'sid1684-anchor-COSINE-2406-F_close_74.wav', 'sid1684-clean-COSINE-2406-F_close_74.wav', 'sid1684-noisy-COSINE-2406-F_array1_74.wav', 'sid1874-noisy-COSINE-2794-M_array1_149.wav', 'sid1874-clean-COSINE-2794-M_close_149.wav', 'sid1874-anchor-COSINE-2794-M_close_149.wav', 'sid3812-anchor-COSINE-5289-F_close_135.wav', 'sid3812-noisy-COSINE-5289-F_array1_135.wav', 'sid3812-clean-COSINE-5289-F_close_135.wav', 'sid5360-noisy-COSINE-7408-M_array1_18.wav', 'sid5360-anchor-COSINE-7408-M_close_18.wav', 'sid5360-clean-COSINE-7408-M_close_18.wav']"
AKJ22H1NTVIQX,Submitted,"[57, 10, 25, 62, 86, 62, 76, 43, 30, 98, 59, 76, 44, 74, 27, 44, 90, 96, 59, 87, 66, 53, 88, 16, 63, 90, 35, 83, 16, 70, 47, 80, 23, 68, 81, 20, 64, 21, 87, 79, 47, 88]","['sid3619-clean-COSINE-4174-F_close_62.wav', 'sid3619-noisy-COSINE-4174-F_array1_62.wav', 'sid3619-anchor-COSINE-4174-F_close_62.wav', 'sid0381-noisy-COSINE-0622-F_array1_41.wav', 'sid0381-clean-COSINE-0622-F_close_41.wav', 'sid0381-anchor-COSINE-0622-F_close_41.wav', 'sid3380-clean-COSINE-3904-M_close_176.wav', 'sid3380-anchor-COSINE-3904-M_close_176.wav', 'sid3380-noisy-COSINE-3904-M_array1_176.wav', 'sid4513-clean-COSINE-6463-F_close_161.wav', 'sid4513-noisy-COSINE-6463-F_array1_161.wav', 'sid4513-anchor-COSINE-6463-F_close_161.wav', 'sid0462-anchor-COSINE-1044-M_close_36.wav', 'sid0462-clean-COSINE-1044-M_close_36.wav', 'sid0462-noisy-COSINE-1044-M_array1_36.wav', 'sid4782-noisy-COSINE-7000-F_array1_14-truncated.wav', 'sid4782-anchor-COSINE-7000-F_close_14-truncated.wav', 'sid4782-clean-COSINE-7000-F_close_14-truncated.wav', 'sid2094-noisy-COSINE-2828-M_array1_3.wav', 'sid2094-clean-COSINE-2828-M_close_3.wav', 'sid2094-anchor-COSINE-2828-M_close_3.wav', 'sid3478-anchor-COSINE-3904-M_close_29.wav', 'sid3478-clean-COSINE-3904-M_close_29.wav', 'sid3478-noisy-COSINE-3904-M_array1_29.wav', 'sid5559-anchor-COSINE-8112-F_close_119.wav', 'sid5559-clean-COSINE-8112-F_close_119.wav', 'sid5559-noisy-COSINE-8112-F_array1_119.wav', 'sid3066-clean-COSINE-3792-F_close_86.wav', 'sid3066-noisy-COSINE-3792-F_array1_86.wav', 'sid3066-anchor-COSINE-3792-F_close_86.wav', 'sid1684-anchor-COSINE-2406-F_close_74.wav', 'sid1684-clean-COSINE-2406-F_close_74.wav', 'sid1684-noisy-COSINE-2406-F_array1_74.wav', 'sid1874-noisy-COSINE-2794-M_array1_149.wav', 'sid1874-clean-COSINE-2794-M_close_149.wav', 'sid1874-anchor-COSINE-2794-M_close_149.wav', 'sid3812-anchor-COSINE-5289-F_close_135.wav', 'sid3812-noisy-COSINE-5289-F_array1_135.wav', 'sid3812-clean-COSINE-5289-F_close_135.wav', 'sid5360-noisy-COSINE-7408-M_array1_18.wav', 'sid5360-anchor-COSINE-7408-M_close_18.wav', 'sid5360-clean-COSINE-7408-M_close_18.wav']"
ALV4DAF8DIJ37,Submitted,"[77, 56, 56, 50, 76, 67, 80, 69, 62, 65, 60, 80, 73, 82, 65, 52, 69, 76, 74, 83, 61, 64, 71, 66, 78, 87, 81, 83, 71, 82, 73, 85, 67, 69, 88, 70, 79, 70, 91, 59, 53, 72]","['sid3619-clean-COSINE-4174-F_close_62.wav', 'sid3619-noisy-COSINE-4174-F_array1_62.wav', 'sid3619-anchor-COSINE-4174-F_close_62.wav', 'sid0381-noisy-COSINE-0622-F_array1_41.wav', 'sid0381-clean-COSINE-0622-F_close_41.wav', 'sid0381-anchor-COSINE-0622-F_close_41.wav', 'sid3380-clean-COSINE-3904-M_close_176.wav', 'sid3380-anchor-COSINE-3904-M_close_176.wav', 'sid3380-noisy-COSINE-3904-M_array1_176.wav', 'sid4513-clean-COSINE-6463-F_close_161.wav', 'sid4513-noisy-COSINE-6463-F_array1_161.wav', 'sid4513-anchor-COSINE-6463-F_close_161.wav', 'sid0462-anchor-COSINE-1044-M_close_36.wav', 'sid0462-clean-COSINE-1044-M_close_36.wav', 'sid0462-noisy-COSINE-1044-M_array1_36.wav', 'sid4782-noisy-COSINE-7000-F_array1_14-truncated.wav', 'sid4782-anchor-COSINE-7000-F_close_14-truncated.wav', 'sid4782-clean-COSINE-7000-F_close_14-truncated.wav', 'sid2094-noisy-COSINE-2828-M_array1_3.wav', 'sid2094-clean-COSINE-2828-M_close_3.wav', 'sid2094-anchor-COSINE-2828-M_close_3.wav', 'sid3478-anchor-COSINE-3904-M_close_29.wav', 'sid3478-clean-COSINE-3904-M_close_29.wav', 'sid3478-noisy-COSINE-3904-M_array1_29.wav', 'sid5559-anchor-COSINE-8112-F_close_119.wav', 'sid5559-clean-COSINE-8112-F_close_119.wav', 'sid5559-noisy-COSINE-8112-F_array1_119.wav', 'sid3066-clean-COSINE-3792-F_close_86.wav', 'sid3066-noisy-COSINE-3792-F_array1_86.wav', 'sid3066-anchor-COSINE-3792-F_close_86.wav', 'sid1684-anchor-COSINE-2406-F_close_74.wav', 'sid1684-clean-COSINE-2406-F_close_74.wav', 'sid1684-noisy-COSINE-2406-F_array1_74.wav', 'sid1874-noisy-COSINE-2794-M_array1_149.wav', 'sid1874-clean-COSINE-2794-M_close_149.wav', 'sid1874-anchor-COSINE-2794-M_close_149.wav', 'sid3812-anchor-COSINE-5289-F_close_135.wav', 'sid3812-noisy-COSINE-5289-F_array1_135.wav', 'sid3812-clean-COSINE-5289-F_close_135.wav', 'sid5360-noisy-COSINE-7408-M_array1_18.wav', 'sid5360-anchor-COSINE-7408-M_close_18.wav', 'sid5360-clean-COSINE-7408-M_close_18.wav']"
AHI4R9YE0SF9E,Submitted,"[50, 31, 77, 39, 70, 48, 56, 33, 35, 26, 35, 28, 42, 49, 34, 46, 88, 64, 44, 84, 41, 31, 55, 25, 49, 66, 52, 57, 34, 55, 36, 31, 43, 34, 30, 22, 91, 58, 52, 39, 28, 37]","['sid3619-clean-COSINE-4174-F_close_62.wav', 'sid3619-noisy-COSINE-4174-F_array1_62.wav', 'sid3619-anchor-COSINE-4174-F_close_62.wav', 'sid0381-noisy-COSINE-0622-F_array1_41.wav', 'sid0381-clean-COSINE-0622-F_close_41.wav', 'sid0381-anchor-COSINE-0622-F_close_41.wav', 'sid3380-clean-COSINE-3904-M_close_176.wav', 'sid3380-anchor-COSINE-3904-M_close_176.wav', 'sid3380-noisy-COSINE-3904-M_array1_176.wav', 'sid4513-clean-COSINE-6463-F_close_161.wav', 'sid4513-noisy-COSINE-6463-F_array1_161.wav', 'sid4513-anchor-COSINE-6463-F_close_161.wav', 'sid0462-anchor-COSINE-1044-M_close_36.wav', 'sid0462-clean-COSINE-1044-M_close_36.wav', 'sid0462-noisy-COSINE-1044-M_array1_36.wav', 'sid4782-noisy-COSINE-7000-F_array1_14-truncated.wav', 'sid4782-anchor-COSINE-7000-F_close_14-truncated.wav', 'sid4782-clean-COSINE-7000-F_close_14-truncated.wav', 'sid2094-noisy-COSINE-2828-M_array1_3.wav', 'sid2094-clean-COSINE-2828-M_close_3.wav', 'sid2094-anchor-COSINE-2828-M_close_3.wav', 'sid3478-anchor-COSINE-3904-M_close_29.wav', 'sid3478-clean-COSINE-3904-M_close_29.wav', 'sid3478-noisy-COSINE-3904-M_array1_29.wav', 'sid5559-anchor-COSINE-8112-F_close_119.wav', 'sid5559-clean-COSINE-8112-F_close_119.wav', 'sid5559-noisy-COSINE-8112-F_array1_119.wav', 'sid3066-clean-COSINE-3792-F_close_86.wav', 'sid3066-noisy-COSINE-3792-F_array1_86.wav', 'sid3066-anchor-COSINE-3792-F_close_86.wav', 'sid1684-anchor-COSINE-2406-F_close_74.wav', 'sid1684-clean-COSINE-2406-F_close_74.wav', 'sid1684-noisy-COSINE-2406-F_array1_74.wav', 'sid1874-noisy-COSINE-2794-M_array1_149.wav', 'sid1874-clean-COSINE-2794-M_close_149.wav', 'sid1874-anchor-COSINE-2794-M_close_149.wav', 'sid3812-anchor-COSINE-5289-F_close_135.wav', 'sid3812-noisy-COSINE-5289-F_array1_135.wav', 'sid3812-clean-COSINE-5289-F_close_135.wav', 'sid5360-noisy-COSINE-7408-M_array1_18.wav', 'sid5360-anchor-COSINE-7408-M_close_18.wav', 'sid5360-clean-COSINE-7408-M_close_18.wav']"
