file,freqbin_6,freqbin_17,freqbin_18,freqbin_19,freqbin_20,freqbin_21,freqbin_22,freqbin_23,freqbin_25,freqbin_26,freqbin_27,freqbin_28,freqbin_30,freqbin_31,freqbin_32,freqbin_34,freqbin_35,freqbin_36,freqbin_37,freqbin_38,freqbin_39,freqbin_40,freqbin_43,freqbin_44,freqbin_46,freqbin_47,freqbin_49,freqbin_50,freqbin_52,freqbin_53,freqbin_54,freqbin_55,freqbin_57,freqbin_58,freqbin_60,freqbin_62,freqbin_63,freqbin_64,freqbin_65,freqbin_66,freqbin_67,freqbin_68,freqbin_69,freqbin_70,freqbin_71,freqbin_72,freqbin_73,freqbin_74,freqbin_75,freqbin_77,freqbin_78,freqbin_79,freqbin_81,freqbin_83,freqbin_84,freqbin_85,freqbin_86,freqbin_87,freqbin_89,freqbin_90,freqbin_91,freqbin_92,freqbin_93,freqbin_94,freqbin_95,freqbin_96,freqbin_97,freqbin_98,freqbin_99,freqbin_101,freqbin_102,freqbin_103,freqbin_104,freqbin_105,freqbin_106,freqbin_107,freqbin_108,freqbin_112,freqbin_113,freqbin_114,freqbin_115,freqbin_117,freqbin_120,freqbin_121,freqbin_122,freqbin_123,freqbin_124,freqbin_125,freqbin_126,freqbin_127,freqbin_129,freqbin_131,freqbin_132,freqbin_133,freqbin_135,freqbin_136,freqbin_137,freqbin_138,freqbin_139,freqbin_140,freqbin_141,freqbin_142,freqbin_143,freqbin_144,freqbin_145,freqbin_146,freqbin_147,freqbin_148,freqbin_149,freqbin_150,freqbin_152,freqbin_155,freqbin_156,freqbin_157,freqbin_158,freqbin_159,freqbin_160,freqbin_59,freqbin_14,freqbin_100,freqbin_119,freqbin_29,freqbin_153,freqbin_16,freqbin_154,freqbin_33,freqbin_45,freqbin_48,freqbin_111,freqbin_151,freqbin_116,freqbin_80,freqbin_15,freqbin_24,freqbin_8,freqbin_128,freqbin_56,freqbin_51,freqbin_7,freqbin_130,freqbin_134,freqbin_82,freqbin_110,freqbin_9,freqbin_61,freqbin_41,freqbin_3,freqbin_12,freqbin_10,freqbin_109,freqbin_88,freqbin_118,freqbin_42,freqbin_76,freqbin_13,freqbin_5,freqbin_11,freqbin_2,freqbin_4,freqbin_1,freqbin_0
sid4173-anchor-COSINE-5534-F_close_177.wav,30.79123,27.965553,17.700356,10.360191,19.763971,19.637278,6.845793,1.4233987,13.643049,18.043343,12.573782,0.29217038,4.8833146,12.0857525,10.684247,2.5897899,-5.885212,-4.481863,-1.9326144,-3.9837499,-8.557107,-9.598437,-7.096085,-7.8958225,-10.585818,-11.3762665,-9.93889,-9.382655,-11.0892725,-12.041277,-9.810887,-6.6110682,-8.251394,-10.150842,-9.336077,-7.9124284,-7.01936,-8.823075,-5.969589,-4.470287,-4.2810345,-6.197572,-6.6364713,-3.7754273,-2.6379335,-3.1860852,-6.11862,-6.477838,-4.9728246,-4.62405,-5.6706467,-7.186307,-7.1546264,-7.020998,-6.394055,-7.040614,-8.559238,-8.956441,-8.637933,-8.957487,-10.057142,-11.983088,-13.421636,-13.712564,-14.073994,-16.489704,-18.139149,-18.765804,-18.96575,-20.906046,-21.933668,-21.977554,-22.535831,-24.123934,-25.986034,-25.945284,-26.285238,-26.540665,-27.747087,-28.113897,-28.030817,-28.171713,-29.066048,-29.120676,-28.783958,-28.70413,-29.236528,-29.21982,-29.405819,-29.68404,-29.615372,-29.638,-29.595156,-29.799173,-30.446781,-30.323238,-30.003277,-30.02375,-30.613457,-30.930302,-30.751608,-30.761314,-30.668114,-31.008703,-31.768267,-31.030672,-30.983446,-31.551342,-31.699924,-31.973856,-31.875792,-31.741371,-32.075268,-32.197117,-32.261642,-32.00215,-32.31561,-32.535698,-32.949184,-32.70997,-32.306446,-32.5592,-32.8786,-33.079964,-32.936634,-32.832832,-32.850777,-33.402065,-33.309895,-33.14221,-33.01945,-32.913147,-33.526794,-33.13335,-33.502056,-33.584133,-33.49168,-33.541454,-33.43289,-33.50445,-33.726246,-33.664097,-33.633972,-33.70501,-33.885185,-34.18953,-33.979607,-34.171593,-34.251167,-34.71254,-34.818264,-34.963566,-35.098686,-35.21434,-35.300186,-35.31855,-35.315517,-35.335407,-35.334724,-35.328907,-35.351013
sid4757-anchor-COSINE-7000-F_close_113.wav,17.770027,15.757872,7.7263,2.4280694,11.983285,20.702374,19.9628,17.395193,18.516775,20.717066,22.5012,18.44106,9.733993,4.7911053,6.1588135,9.392277,7.452932,3.0829241,-0.26521358,-0.03366826,3.0534053,2.4773033,-0.9479248,-5.3905225,-4.628301,-0.78031904,-2.1964254,-5.1562047,-6.7523336,-3.4294734,-0.19482823,-2.8529909,-6.529965,-7.080921,-0.88808155,3.678869,0.16330326,-5.1877522,-5.796371,-2.8323877,-0.6938872,-4.151418,-7.938447,-9.672619,-7.776163,-4.99402,-6.9228487,-9.691826,-9.897705,-8.2285,-6.87355,-8.910636,-11.112423,-10.9069395,-7.8891134,-6.414665,-8.765267,-12.064895,-12.081032,-10.101614,-8.667076,-10.519548,-13.793858,-15.830754,-14.458,-13.424391,-15.63463,-18.117903,-18.764746,-16.808262,-15.860416,-18.235521,-21.387274,-22.027605,-19.681103,-18.352245,-21.26237,-24.811132,-25.332706,-22.32112,-21.599102,-24.770947,-26.747684,-26.988052,-24.19361,-22.706566,-24.370106,-26.947739,-26.8276,-24.251453,-23.893717,-25.534582,-27.899933,-28.491455,-26.795727,-26.189365,-27.42344,-28.87231,-28.79614,-27.845537,-27.874071,-28.681,-29.2996,-29.87828,-28.528566,-28.943274,-29.160414,-30.241869,-30.869091,-30.433655,-30.895155,-30.780954,-30.333673,-31.268175,-31.049252,-30.892853,-30.312357,-30.943907,-31.034214,-30.495787,-30.376114,-30.994318,-31.798164,-31.558855,-30.833473,-30.50412,-30.319988,-31.18192,-31.71089,-30.997,-30.526876,-30.030457,-31.580553,-31.94719,-30.84196,-31.063194,-31.13455,-32.262367,-31.653862,-30.907867,-30.999842,-31.674988,-31.856384,-33.003475,-31.427362,-31.767658,-31.501217,-32.27024,-33.344093,-32.61656,-34.97446,-35.689636,-36.395668,-37.45379,-37.446922,-37.495342,-37.526047,-37.557663,-37.55426,-37.549637,-37.56093
sid3359-anchor-COSINE-3904-M_close_153.wav,20.11444,17.02493,18.980934,23.529434,21.79853,20.774399,19.990917,17.030567,15.598298,11.793805,10.366348,11.676109,10.296792,10.054651,8.254439,5.6545997,5.2304506,3.0067854,3.214736,3.7363017,0.41829205,0.10835919,0.46988502,-1.6634022,0.5130681,2.669633,2.203243,1.1346784,0.21574682,-0.060086254,0.2608016,-0.20238908,-0.8557851,-1.3304192,-1.534054,-1.575514,-1.9824802,-3.9412255,-4.6484675,-3.8881173,-4.5918317,-5.27159,-4.789634,-4.5286684,-4.5251474,-4.5552845,-3.4987829,-3.893757,-4.881576,-5.946104,-6.330082,-7.190361,-8.947471,-9.682063,-10.716678,-10.969254,-12.215565,-13.485936,-13.105544,-13.675907,-13.440233,-12.628748,-12.142895,-11.896307,-11.845321,-12.314571,-12.965469,-13.604871,-13.857967,-14.860135,-16.164682,-17.508001,-19.38594,-20.828894,-20.816597,-21.761173,-23.10279,-24.548706,-24.58229,-24.516281,-25.362017,-25.213219,-25.084621,-25.834696,-26.55751,-26.232527,-26.396704,-26.343582,-26.431538,-27.147827,-26.965366,-27.652302,-27.63338,-27.426006,-28.207016,-28.684536,-28.473747,-28.704807,-28.54574,-28.376333,-29.13333,-29.182243,-29.711283,-29.645317,-29.437466,-30.042416,-30.338022,-30.212622,-30.279781,-31.037462,-30.792042,-30.641815,-30.761925,-31.47794,-31.105501,-30.818739,-31.213388,-32.063457,-31.808735,-31.903124,-31.858517,-32.169388,-32.608105,-32.137077,-31.700487,-33.217857,-32.278103,-32.792915,-32.845947,-32.71747,-32.971962,-32.82354,-33.43402,-32.575394,-32.54971,-33.04943,-33.15084,-32.914143,-33.095356,-33.11318,-33.640244,-32.943363,-33.157112,-33.61373,-33.317856,-33.242115,-33.247166,-33.68113,-34.636177,-34.964535,-35.546375,-36.297318,-36.783142,-37.025562,-37.189884,-37.256866,-37.24568,-37.276985,-37.262115,-37.275715,-37.26689
sid5417-noisy-COSINE-7408-M_array1_76.wav,29.688103,26.500902,17.063902,10.253511,5.3714037,3.089957,0.61752176,-1.2785306,-0.5275359,-0.59246814,2.0319054,4.3964176,4.1985664,3.1186872,0.89503634,-1.5712342,-3.3363345,-5.156893,-4.7921066,-4.7301383,-3.8214035,-3.4226928,-6.08895,-7.6819515,-9.290824,-9.068018,-9.448479,-10.911949,-12.769036,-14.7296095,-15.274939,-15.749104,-15.6664095,-15.401403,-14.679073,-14.663479,-14.0246315,-14.544983,-15.402525,-16.323841,-17.429207,-17.309029,-17.6881,-17.265882,-16.68681,-17.064445,-17.025415,-18.08162,-17.678633,-18.85338,-19.341337,-18.857876,-18.512222,-18.866655,-18.722536,-18.912983,-19.307795,-19.153542,-19.66455,-19.194733,-19.553965,-19.734158,-19.326946,-18.999802,-18.114798,-18.4102,-17.575922,-17.24213,-17.12482,-16.901247,-17.197895,-16.411148,-15.147148,-15.457676,-16.569109,-16.656927,-15.361758,-16.429583,-16.120846,-17.287989,-17.386295,-18.279669,-19.305489,-20.226887,-20.068592,-20.251019,-19.23601,-18.982294,-19.238735,-18.841297,-18.698484,-18.160732,-17.752584,-17.329832,-17.91699,-17.278435,-16.443626,-16.834805,-17.245945,-16.646404,-17.82694,-18.511889,-19.3844,-19.35167,-19.304424,-19.838942,-21.111338,-21.225838,-21.266438,-21.497334,-20.6091,-20.733929,-22.07499,-22.26485,-21.805193,-21.870182,-22.272444,-22.257116,-22.867416,-23.439991,-23.046541,-24.320164,-23.237455,-23.4552,-24.490194,-24.16236,-24.677307,-24.767548,-25.706905,-26.081438,-27.018341,-28.46502,-28.045544,-28.094032,-28.61813,-29.236301,-29.20935,-29.785698,-29.72583,-29.508684,-29.8642,-30.77901,-30.936295,-30.925982,-31.226397,-31.860144,-31.934988,-32.99163,-33.69333,-34.83699,-35.735764,-36.53401,-37.28748,-37.812958,-38.069923,-38.1406,-38.12686,-38.15372,-38.151848,-38.157566,-38.15574
sid4331-clean-COSINE-5897-F_close_166.wav,14.20443,13.408094,8.478626,6.240918,18.050486,25.08251,22.425844,12.925114,8.009518,14.613186,18.998724,17.623966,12.873021,10.164188,12.752308,13.435922,13.604515,13.543289,10.033972,5.2456503,2.7966056,2.613877,4.8344126,6.995037,5.162458,0.75265586,-0.23343445,1.143071,1.4081333,1.0884093,-0.5721322,-2.062154,-0.44253337,1.5279095,1.6847217,-0.43827206,-2.4365153,-2.9582763,-0.6119697,-0.51033753,-3.2657883,-4.8978767,-5.6922455,-5.013117,-4.2515235,-5.9221535,-6.6898637,-6.128347,-6.042284,-6.0699177,-6.658927,-6.7063866,-5.7277384,-4.419442,-3.4801638,-4.209899,-5.2506022,-4.446388,-3.968538,-4.1662617,-5.004201,-7.144458,-8.677997,-9.007878,-8.873111,-8.668357,-9.547449,-10.307679,-9.807446,-8.62727,-8.485774,-7.3643823,-6.578922,-6.726277,-6.792116,-6.713729,-5.986079,-5.5533004,-7.023092,-8.600602,-9.338211,-10.087661,-10.122639,-11.183051,-11.962472,-12.244881,-11.807146,-11.9444065,-12.518854,-12.854673,-13.827237,-14.688958,-15.0272255,-14.338221,-13.610798,-14.403965,-15.133485,-16.1292,-16.19655,-16.604267,-16.233429,-16.510174,-16.794092,-16.897453,-17.07484,-16.881239,-17.546547,-16.78228,-16.576078,-16.324255,-16.415976,-17.337196,-16.848389,-17.127043,-17.758718,-17.197979,-17.32229,-18.616957,-19.16183,-18.887358,-17.916615,-17.581652,-18.409517,-19.082844,-18.274649,-18.185116,-17.361929,-17.397835,-18.303946,-18.426046,-18.054363,-17.337114,-17.01639,-17.685854,-18.18096,-17.762087,-18.134228,-18.054905,-18.622742,-19.102524,-18.60236,-18.4753,-18.267387,-18.727087,-19.09967,-19.984293,-19.711374,-19.73451,-20.694016,-22.633835,-25.247679,-27.83091,-30.106937,-33.137695,-35.484146,-36.288994,-36.43884,-36.55542,-36.550232,-36.578087,-36.538063
sid2144-noisy-COSINE-2828-M_array1_82-truncated.wav,31.171436,27.78801,17.471584,12.5303955,11.172438,15.58435,17.780277,16.5506,16.100616,14.198216,14.970427,14.831932,14.698392,13.030077,8.8293495,7.5855775,6.682324,6.024925,3.8767843,2.805491,1.5175866,1.6055868,0.45257038,-0.56813395,-0.18981513,-0.13712563,-0.052662283,0.044690337,0.2676397,0.26064387,-0.85410166,-1.0596138,-2.8950284,-5.012545,-4.6846094,-6.258095,-6.483284,-7.350892,-7.671809,-7.5309825,-8.502786,-8.81977,-8.34714,-8.1336155,-6.9714193,-6.0544205,-5.578573,-4.4544873,-3.5997846,-3.5535626,-3.8799481,-4.7125587,-5.932309,-7.2510242,-8.158943,-8.812762,-9.93893,-10.566027,-11.098317,-11.09528,-10.96554,-10.238104,-9.794112,-9.836113,-9.796944,-9.40427,-9.337757,-9.373174,-8.878225,-9.211759,-8.691239,-8.541344,-8.408278,-8.926615,-10.042211,-10.496863,-10.52024,-10.290221,-10.5294075,-11.242773,-12.506542,-13.246165,-13.084775,-12.49926,-12.586052,-12.726306,-12.980456,-13.662457,-14.146528,-14.771635,-15.4202795,-15.497588,-16.311092,-16.34607,-16.04473,-17.205301,-17.060024,-17.710299,-18.1108,-18.130018,-19.079567,-19.352842,-19.993034,-19.824028,-20.691462,-21.77647,-22.114052,-22.076637,-21.608202,-22.080933,-22.08339,-21.692656,-22.557241,-22.627943,-23.602848,-24.580467,-24.739681,-25.051697,-25.513638,-25.80388,-25.652742,-25.294674,-25.555105,-25.833672,-25.748909,-26.385406,-26.35377,-26.028503,-26.360683,-26.823917,-26.586048,-26.564972,-26.870916,-26.77249,-26.800743,-26.508205,-26.9676,-26.977596,-26.931194,-26.489487,-26.294128,-26.240036,-26.959873,-27.572634,-27.584663,-28.235514,-28.132246,-28.887829,-29.37738,-30.409954,-31.505733,-32.94677,-34.12137,-34.687294,-35.3337,-35.48892,-35.472073,-35.529076,-35.495583,-35.533897,-35.50851
sid5534-clean-COSINE-7551-F_close_96.wav,15.250214,12.970543,3.6269555,4.425978,11.253461,13.396305,12.927456,8.768217,6.4771976,3.5184455,-1.7388935,3.1591108,7.7196527,5.784711,-0.5404688,-2.9340425,-3.2828789,-5.003142,-7.062188,-7.2970767,-9.033721,-11.725621,-14.235254,-16.821285,-13.832598,-13.024181,-15.027124,-16.864098,-17.529575,-16.445692,-14.309367,-11.002654,-11.106625,-11.907154,-13.165447,-14.534755,-12.81557,-9.817764,-10.827946,-13.308582,-14.287121,-15.176708,-15.212967,-12.229005,-10.603332,-11.868837,-15.308114,-16.393597,-14.624222,-12.951293,-13.121184,-15.515365,-17.491608,-17.826923,-18.430342,-17.545628,-16.737297,-18.279295,-18.640587,-18.090046,-16.840914,-17.781021,-19.802769,-20.944431,-21.387022,-22.01188,-21.838758,-22.060188,-22.57991,-23.452585,-23.619184,-23.437346,-22.72651,-22.040445,-22.508614,-23.123178,-23.679483,-22.392347,-21.040257,-20.809673,-20.026064,-20.371838,-21.002926,-21.032658,-21.9502,-22.710175,-22.467432,-22.675587,-22.11227,-22.663042,-23.391804,-24.482412,-25.10955,-25.024721,-25.797043,-27.143534,-28.27716,-29.119108,-29.402172,-28.942997,-29.488232,-28.82972,-29.51223,-28.73743,-29.592058,-30.646088,-30.901335,-29.511606,-28.928303,-27.65298,-27.268429,-27.442295,-28.24503,-27.617561,-27.380234,-27.49749,-28.160162,-29.071632,-29.332886,-28.852211,-27.998425,-27.435165,-27.090744,-27.966965,-27.316883,-27.12032,-26.891756,-26.325644,-25.60165,-24.619423,-25.105602,-26.20684,-26.27961,-26.479301,-26.096516,-26.498756,-26.453455,-27.042477,-27.204319,-27.13224,-27.586344,-28.47432,-28.178177,-27.728241,-26.685314,-26.644745,-26.562405,-27.943626,-29.13646,-30.793684,-32.734272,-36.100716,-38.260094,-41.56612,-43.46837,-44.4581,-44.749737,-44.84134,-44.860188,-44.911797,-44.922676
sid2565-clean-COSINE-3231-F_close_65.wav,19.859661,18.397697,11.15526,4.9535604,10.261681,17.485802,17.589424,12.317289,5.960332,8.8195,13.344811,12.781927,10.783095,8.958661,10.635916,9.43205,4.581632,2.3860595,7.0993752,9.562318,6.072859,4.777175,4.1658106,0.6110667,2.412607,0.8626108,-3.2927296,-3.0888314,1.4295578,2.9451694,1.2573714,-1.3862723,-2.0291927,-1.0032202,-2.0732532,-1.852929,-0.6310663,-2.2597165,-4.2079287,-4.5550714,-5.371938,-6.919208,-6.7061133,-8.3900175,-10.943348,-10.881287,-8.611857,-7.7503853,-9.423117,-11.616863,-11.0921335,-9.37307,-8.839996,-10.568491,-11.095373,-10.9223385,-10.583761,-9.040144,-8.316286,-7.6892567,-7.499266,-8.818895,-12.035791,-13.485736,-11.99514,-10.4896145,-11.542856,-14.555864,-16.922958,-17.53976,-16.850151,-15.076305,-13.680302,-13.922434,-14.886417,-15.2963295,-15.837846,-15.773407,-12.640065,-11.758984,-14.481953,-16.388271,-15.418135,-14.652164,-14.487558,-15.128612,-14.964486,-14.951254,-15.332157,-16.592628,-16.249302,-15.547813,-16.85675,-16.398523,-16.299799,-17.14243,-16.424826,-15.630209,-16.453321,-17.354996,-15.997249,-16.37148,-16.928295,-17.413214,-19.30916,-20.555626,-21.018326,-20.683918,-19.601444,-19.803387,-20.34787,-21.973001,-22.352146,-22.599752,-21.719378,-20.568455,-20.770409,-21.177425,-21.459976,-22.606552,-23.645847,-22.676012,-22.542898,-22.567482,-23.108465,-24.378347,-24.414454,-23.90045,-23.230576,-24.239283,-24.196838,-24.672192,-24.14193,-23.403082,-23.612558,-24.715424,-23.65328,-23.379086,-23.784254,-23.432245,-24.320524,-24.628,-24.913162,-24.742882,-24.826736,-25.537586,-26.379028,-26.927017,-27.520655,-28.377739,-30.578773,-32.71664,-35.129948,-37.165733,-38.633797,-39.044735,-39.23307,-39.252583,-39.263058,-39.25287,-39.298008
sid3543-clean-COSINE-3904-M_close_91.wav,15.600501,11.867878,15.027289,22.428318,21.353094,18.21408,19.165848,19.327793,19.079044,17.141834,14.168881,12.96816,13.477148,15.132657,16.172112,15.140074,11.470657,8.361729,10.372484,10.061909,6.1656466,5.707988,6.4761896,4.4316034,1.7079996,1.8446119,2.3199322,2.1410277,3.1959434,4.390937,4.4110246,2.6573696,2.2535253,3.7186418,3.0083785,1.7103596,1.2313814,0.5670123,0.052195676,-0.83290064,-0.5966838,-0.8995571,-0.5318826,0.1422994,0.92557937,0.9422029,0.72525114,0.8943759,0.90473384,-0.21091074,-1.5923476,-2.7218652,-3.9170983,-5.233428,-6.658156,-8.068529,-8.762825,-8.815033,-9.445259,-10.103169,-10.021605,-9.918081,-9.596654,-9.1428795,-8.69445,-8.606026,-7.5408516,-7.4325294,-7.321043,-6.3426886,-5.3061514,-5.369314,-6.2350945,-6.897848,-7.233851,-6.65071,-6.148913,-6.8913264,-7.159777,-6.7581086,-7.274256,-7.8213935,-7.5253797,-7.4082336,-8.124845,-7.87107,-7.891044,-8.175454,-8.5373745,-8.749874,-9.575519,-10.2550125,-11.196714,-11.005505,-11.458366,-11.018833,-12.167677,-11.907988,-12.532359,-12.9532,-13.5550785,-13.878561,-14.473224,-14.951296,-16.230564,-15.510878,-15.083661,-14.657902,-14.724149,-14.46411,-14.595842,-14.273215,-14.54329,-14.201738,-14.760393,-14.629708,-13.43541,-13.884943,-14.444212,-13.399626,-13.766547,-14.630648,-15.280117,-15.07843,-15.069658,-15.954353,-16.970325,-16.836594,-16.781284,-16.93429,-18.106634,-18.496582,-18.115189,-18.928844,-18.763601,-18.371704,-18.147331,-17.791748,-18.204723,-18.909048,-19.82698,-19.781643,-19.90806,-20.676191,-20.588694,-20.6841,-21.513988,-21.848051,-23.291172,-24.079054,-27.137499,-29.662922,-32.483715,-35.29117,-36.016624,-36.641624,-36.64062,-36.671955,-36.702152,-36.694744,-36.688076
sid0876-clean-COSINE-1399-F_close_260.wav,20.707935,18.007538,17.232782,25.759651,22.87699,11.805873,18.698898,18.97564,10.984019,13.368039,16.829567,13.294004,11.405769,14.0420065,12.62127,9.702052,11.227411,9.814538,6.557009,6.542335,5.0179806,2.7034247,3.1050587,2.1196067,0.8869631,1.5534122,1.5972798,0.4047699,0.8006046,0.5010124,-1.8381321,-2.0638444,-2.431017,-3.4212425,-3.5629597,-2.8382206,-2.5960948,-2.6124825,-2.0219345,-2.1101415,-2.7354195,-3.2473922,-4.7609205,-5.929894,-6.0955124,-6.5244694,-6.4704714,-6.1340103,-6.166432,-6.1655483,-7.0982075,-7.8528547,-7.1212473,-7.876649,-8.49074,-7.639616,-7.551639,-8.4243145,-9.332249,-9.245981,-9.806491,-11.904584,-13.347424,-13.861045,-14.659396,-15.303973,-15.611698,-15.821608,-16.176004,-16.094477,-16.084784,-16.413795,-16.018314,-15.736127,-14.903748,-14.415901,-13.698036,-13.622959,-13.859358,-13.656498,-13.255009,-13.461266,-14.346409,-14.722339,-15.148644,-16.100767,-17.443111,-17.758287,-18.034937,-18.199945,-17.29387,-17.3387,-17.315111,-15.565563,-15.379371,-15.4288435,-15.095121,-14.754834,-14.577031,-15.274739,-15.332923,-14.419247,-14.573324,-16.202784,-16.457813,-16.193,-17.9021,-18.240469,-17.348806,-18.187296,-19.110546,-18.718021,-19.037338,-20.094278,-20.209694,-20.191023,-21.120747,-21.248674,-21.036215,-21.494175,-21.821632,-21.950542,-21.488092,-21.706877,-22.705341,-21.601898,-22.288452,-23.10141,-23.352442,-22.706612,-23.85398,-24.061308,-23.064083,-23.449944,-23.595991,-23.589226,-23.815945,-24.272923,-24.100182,-25.119102,-25.59357,-24.94921,-25.094576,-25.354078,-25.03729,-25.081518,-26.080395,-27.054497,-27.4334,-28.65986,-30.248192,-32.71919,-34.288532,-35.292355,-36.366684,-36.388264,-36.469116,-36.481365,-36.502544,-36.48773,-36.499943
